Security Code,Security Id,Security Name,Group,Face Value,Industry,INR
500248,MAVIIND,MAVI INDUSTRIES LTD.,XT,10,Plastic Products,
500421,TPINDIA,TPI INDIA LTD.,XT,1,Containers &amp; Packaging,
500426,UTLINDS,UTL Industries Limited,XT,1,Copper,
500730,NOCIL,NOCIL LTD.,B ,10,Specialty Chemicals,
501110,SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.,XT,10,Other Financial Services,
501144,PEOPLIN,PEOPLES INVESTMENTS LTD.,P ,10,Misc.Commercial Services,
501151,KARTKIN,KARTIK INVESTMENTS TRUST LTD.,P ,10,Other Financial Services,
501154,ROSEI,ROSE INVESTMENTS LTD.,P ,10,Other Financial Services,
501261,KRATOSENER,KRATOS ENERGY &amp; INFRASTRUCTURE LTD.,P ,10,Other Financial Services,
501270,ZCHANAIN,CHANAKYA INVESTMENTS LTD.,XT,10,Misc.Commercial Services,
501351,RAPIDIN,RAPID INVESTMENTS LTD.,XT,10,Misc.Commercial Services,
501386,ZSWASTSA,SWASTIK SAFE DEPOSIT &amp; INVESTMENTS LTD.,P ,10,Other Financial Services,
501471,MACK,MACK TRADING CO.LTD.,XT,10,Comm.Trading  &amp; Distribution,
501479,ZNEWSAGA,NEW SAGAR TRADING CO.LTD.,P ,10,Comm.Trading  &amp; Distribution,
501630,ANANDPROJ,Anand Projects Ltd,P ,10,Construction &amp; Engineering,
502137,DECCANCE,DECCAN CEMENTS LTD.-$,B ,5,Cement &amp; Cement Products,
502150,KLYNCEM,KALYANPUR CEMENTS LTD.,P ,10,Cement &amp; Cement Products,
502216,BOMBPOT,BOMBAY POTTERIES &amp; TILES LTD.,P ,100,Realty,
502850,ZGAEKWAR,GAEKWAR MILLS LTD.,P ,100,Textiles,
503622,ZSVTRADI,S.V.TRADING &amp; AGENCIES LTD.,XT,10,Other Financial Services,
503624,ZSVARAJT,SVARAJ TRADING &amp; AGENCIES LTD.,XT,10,Other Financial Services,
503626,KSHITIJ,KSHITIZ INVESTMENT LTD.,P ,10,Other Financial Services,
503635,SALSAIN,SHREE SALASAR INVESTMENT LTD.,XT,10,Other Financial Services,
503639,INDSOYA,INDSOYA LTD.,P ,10,Misc.Commercial Services,
503671,UNIJOLL,UNIJOLLY INVESTMENTS CO.LTD.,XT,10,Other Financial Services,
503689,HEALINV,HEALTHY INVESTMENTS LTD.,XT,10,Misc.Commercial Services,
503811,SIYSIL,SIYARAM SILK MILLS LTD.-$,B ,2,Textiles,
503863,SHRMFGC,SHREE MANUFACTURING CO.LTD.,XT,10,Textiles,
503893,ZSATYASL,SATYAM SILK MILLS LTD.,P ,10,Other Financial Services,
504256,DELTRON,DELTRON LTD.,P ,10,Electronic Components,
504346,GDTRAGN,G.D.TRADING &amp; AGENCIES LTD.,P ,10,Other Financial Services,
504356,ZMULTIPU,MULTIPURPOSE TRADING &amp; AGENCIES LTD.,XT,10,Misc.Commercial Services,
504360,REMISIN,REMI SALES &amp; ENGINEERING LTD.,XT,10,Comm.Trading  &amp; Distribution,
504365,RIDHISYN,RIDHI SYNTHETICS LTD.,P ,10,Other Financial Services,
504370,ZARDIINV,ARDI INVESTMENT &amp; TRADING LTD.,ZP,10,Misc.Commercial Services,
504375,SOFTBPO,SOFTBPO GLOBAL SERVICES LTD.,P ,10,IT Consulting &amp; Software,
504380,ZVINADTR,VINADITYA TRADING CO.LTD.,XT,10,Comm.Trading  &amp; Distribution,
504390,AVTIL,AVTIL Enterprise Ltd,XT,10,Other Financial Services,
504397,GANHOLD,GANESH HOLDINGS LTD.,XT,10,Misc.Commercial Services,
504643,BWLLTD,BWL LTD.,P ,10,Iron &amp; Steel Products,
504648,BOMBWIR,BOMBAY WIRE ROPES LTD.,XT,1,Iron &amp; Steel Products,
504671,CHASBRT,CHASE BRIGHT STEEL LTD.,P ,10,Iron &amp; Steel/Interm.Products,
